Simulation_Number,Maze_Name,Step_Size,Side_Length,Total_Length,Corner,Width,Height,Fillet_Radius,Pressure_Difference,Flow_Rate,Simulation_Resistance,Theoretical_Resistance
1,Maze_1,0.5,3,8,12,0.05,0.05,0.03125,10,1.95135413383133,5.12464643225256,6.30105945945946
2,Maze_1,0.5,3,8,12,0.05,0.05,0.0375,10,1.95242132221142,5.12184531393739,6.30105945945946
3,Maze_1,0.5,3,8,12,0.05,0.05,0.04375,10,1.97132118396719,5.0727400899104,6.30105945945946
4,Maze_1,0.5,3,8,12,0.05,0.1,0.03125,10,6.27218697521791,1.59434022606646,-1.12086153846154
5,Maze_1,0.5,3,8,12,0.05,0.1,0.0375,10,6.29434451011972,1.58872778315876,-1.12086153846154
6,Maze_1,0.5,3,8,12,0.05,0.1,0.04375,10,6.32079054648363,1.58208058413883,-1.12086153846154
7,Maze_1,0.5,3,8,12,0.05,0.15,0.03125,10,10.6397838290917,0.939868719198749,-0.0970200582605076
8,Maze_1,0.5,3,8,12,0.05,0.15,0.0375,10,10.685461627446,0.935851004725393,-0.0970200582605076
9,Maze_1,0.5,3,8,12,0.05,0.15,0.04375,10,10.7152567311883,0.933248754637257,-0.0970200582605076
10,Maze_1,0.5,3,8,12,0.05,0.2,0.03125,10,14.8720070578523,0.672404199453367,-0.0239657894736842
11,Maze_1,0.5,3,8,12,0.05,0.2,0.0375,10,14.9402550396606,0.669332616709275,-0.0239657894736842
12,Maze_1,0.5,3,8,12,0.05,0.2,0.04375,10,14.9736629619349,0.667839260535074,-0.0239657894736842
13,Maze_1,0.5,3,8,12,0.05,0.25,0.03125,10,19.016422780052,0.525861257696158,-0.00867494697674418
14,Maze_1,0.5,3,8,12,0.05,0.25,0.0375,10,19.1064153301957,0.523384414458743,-0.00867494697674418
15,Maze_1,0.5,3,8,12,0.05,0.25,0.04375,10,19.1440187224911,0.522356363361242,-0.00867494697674418
16,Maze_1,0.5,3,8,12,0.1,0.05,0.0625,10,6.24878922051508,1.6003100196066,1.70174598540146
17,Maze_1,0.5,3,8,12,0.1,0.05,0.075,10,6.28709664956045,1.59055929269023,1.70174598540146
18,Maze_1,0.5,3,8,12,0.1,0.05,0.0875,10,6.37936778620589,1.56755345280813,1.70174598540146
19,Maze_1,0.5,3,8,12,0.1,0.1,0.0625,10,30.9667600795807,0.322926905310767,0.393816216216216
20,Maze_1,0.5,3,8,12,0.1,0.1,0.075,10,31.2534865141725,0.319964302077636,0.393816216216216
21,Maze_1,0.5,3,8,12,0.1,0.1,0.0875,10,31.456792026889,0.317896370089234,0.393816216216216
22,Maze_1,0.5,3,8,12,0.1,0.15,0.0625,10,65.0419481226042,0.153746932382006,0.784980471380473
23,Maze_1,0.5,3,8,12,0.1,0.15,0.075,10,65.680623009314,0.152251905384362,0.784980471380473
24,Maze_1,0.5,3,8,12,0.1,0.15,0.0875,10,65.859215911961,0.151839038189701,0.784980471380473
25,Maze_1,0.5,3,8,12,0.1,0.2,0.0625,10,101.0188797365,0.0989913967179621,-0.0700538461538461
26,Maze_1,0.5,3,8,12,0.1,0.2,0.075,10,102.024245121862,0.0980159175699425,-0.0700538461538461
27,Maze_1,0.5,3,8,12,0.1,0.2,0.0875,10,102.075492087969,0.0979667087118421,-0.0700538461538461
28,Maze_1,0.5,3,8,12,0.1,0.25,0.0625,10,136.747146420203,0.0731276685604213,-0.0162183791304348
29,Maze_1,0.5,3,8,12,0.1,0.25,0.075,10,138.112852630398,0.0724045576464983,-0.0162183791304348
30,Maze_1,0.5,3,8,12,0.1,0.25,0.0875,10,137.998169701917,0.0724647292177899,-0.0162183791304348
31,Maze_1,0.5,3,8,12,0.15,0.05,0.09375,10,10.815180176723,0.924626297167247,0.98370970464135
32,Maze_1,0.5,3,8,12,0.15,0.05,0.1125,10,11.0798135445081,0.902542263895469,0.98370970464135
33,Maze_1,0.5,3,8,12,0.15,0.05,0.13125,10,11.2626005974001,0.887894400011704,0.98370970464135
34,Maze_1,0.5,3,8,12,0.15,0.1,0.09375,10,64.8709302649878,0.154152252159042,0.167485057471264
35,Maze_1,0.5,3,8,12,0.15,0.1,0.1125,10,65.9489223509226,0.151632500479519,0.167485057471264
36,Maze_1,0.5,3,8,12,0.15,0.1,0.13125,10,66.6719790848602,0.149988048011474,0.167485057471264
37,Maze_1,0.5,3,8,12,0.15,0.15,0.09375,10,158.55358567164,0.0630701598935122,0.0777908575241908
38,Maze_1,0.5,3,8,12,0.15,0.15,0.1125,10,160.900080847485,0.062150372748904,0.0777908575241908
39,Maze_1,0.5,3,8,12,0.15,0.15,0.13125,10,161.971476945414,0.0617392653854116,0.0777908575241908
40,Maze_1,0.5,3,8,12,0.15,0.2,0.09375,10,272.05063143751,0.0367578635901714,0.0758916666666666
41,Maze_1,0.5,3,8,12,0.15,0.2,0.1125,10,275.788317598325,0.0362596939822687,0.0758916666666666
42,Maze_1,0.5,3,8,12,0.15,0.2,0.13125,10,276.551391695525,0.0361596444649598,0.0758916666666666
43,Maze_1,0.5,3,8,12,0.15,0.25,0.09375,10,392.3587703597,0.0254868777135589,-0.124340906666667
44,Maze_1,0.5,3,8,12,0.15,0.25,0.1125,10,397.46797591418,0.0251592596284013,-0.124340906666667
45,Maze_1,0.5,3,8,12,0.15,0.25,0.13125,10,397.355026436623,0.0251664112309775,-0.124340906666667
46,Maze_1,0.5,3,8,12,0.2,0.05,0.125,10,15.793280356888,0.633180680265619,0.691807715133531
47,Maze_1,0.5,3,8,12,0.2,0.05,0.15,10,16.2081691430014,0.616972830908415,0.691807715133531
48,Maze_1,0.5,3,8,12,0.2,0.05,0.175,10,16.8369424595211,0.59393206480581,0.691807715133531
49,Maze_1,0.5,3,8,12,0.2,0.1,0.125,10,102.635251788727,0.0974324106554036,0.106359124087591
50,Maze_1,0.5,3,8,12,0.2,0.1,0.15,10,104.493437322942,0.0956997899216818,0.106359124087591
51,Maze_1,0.5,3,8,12,0.2,0.1,0.175,10,107.282747250544,0.0932116324039162,0.106359124087591
52,Maze_1,0.5,3,8,12,0.2,0.15,0.125,10,274.43566854276,0.0364384121535642,0.0409231525364227
53,Maze_1,0.5,3,8,12,0.2,0.15,0.15,10,278.799257272588,0.0358681012920447,0.0409231525364227
54,Maze_1,0.5,3,8,12,0.2,0.15,0.175,10,285.011996697409,0.0350862423893573,0.0409231525364227
55,Maze_1,0.5,3,8,12,0.2,0.2,0.125,10,507.75207755848,0.0196946510747625,0.0246135135135135
56,Maze_1,0.5,3,8,12,0.2,0.2,0.15,10,514.982415070176,0.0194181387701118,0.0246135135135135
