Simulation_Number,Maze_Name,Step_Size,Side_Length,Total_Length,Corner,Width,Height,Fillet_Radius,Pressure_Difference,Flow_Rate,Simulation_Resistance,Theoretical_Resistance
1,Maze_1,0.5,1.5,1.5,0,0.04,0.04,0.025,10,3.9537749457443,2.52922843035455,2.88439611486486
2,Maze_1,0.5,1.5,1.5,0,0.04,0.04,0.03,10,3.9537749457443,2.52922843035455,2.88439611486486
3,Maze_1,0.5,1.5,1.5,0,0.04,0.04,0.035,10,3.9537749457443,2.52922843035455,2.88439611486486
4,Maze_1,0.5,1.5,1.5,0,0.04,0.0533333333333333,0.025,10,6.88196331727787,1.45307371442884,2.8139762878418
5,Maze_1,0.5,1.5,1.5,0,0.04,0.0533333333333333,0.03,10,6.88196331727787,1.45307371442884,2.8139762878418
6,Maze_1,0.5,1.5,1.5,0,0.04,0.0533333333333333,0.035,10,6.88196331727787,1.45307371442884,2.8139762878418
7,Maze_1,0.5,1.5,1.5,0,0.04,0.0666666666666667,0.025,10,10.0305341004195,0.996955884889701,-4.61041875000002
8,Maze_1,0.5,1.5,1.5,0,0.04,0.0666666666666667,0.03,10,10.0305341004195,0.996955884889701,-4.61041875000002
9,Maze_1,0.5,1.5,1.5,0,0.04,0.0666666666666667,0.035,10,10.0305341004195,0.996955884889701,-4.61041875000002
10,Maze_1,0.5,1.5,1.5,0,0.04,0.08,0.025,10,13.2344998451959,0.755600900447327,-0.513089693509615
11,Maze_1,0.5,1.5,1.5,0,0.04,0.08,0.03,10,13.2344998451959,0.755600900447327,-0.513089693509615
12,Maze_1,0.5,1.5,1.5,0,0.04,0.08,0.035,10,13.2344998451959,0.755600900447327,-0.513089693509615
13,Maze_1,0.5,1.5,1.5,0,0.0925,0.04,0.0578125,10,15.0556083959834,0.664204310911,0.634309992570579
14,Maze_1,0.5,1.5,1.5,0,0.0925,0.04,0.069375,10,15.0556083959834,0.664204310911,0.634309992570579
15,Maze_1,0.5,1.5,1.5,0,0.0925,0.04,0.0809375,10,15.0556083959834,0.664204310911,0.634309992570579
16,Maze_1,0.5,1.5,1.5,0,0.0925,0.0883333333333333,0.0578125,10,102.655113485281,0.0974135594466404,0.10756853191322
17,Maze_1,0.5,1.5,1.5,0,0.0925,0.0883333333333333,0.069375,10,102.65511348528,0.0974135594466405,0.10756853191322
18,Maze_1,0.5,1.5,1.5,0,0.0925,0.0883333333333333,0.0809375,10,102.65511348528,0.0974135594466405,0.10756853191322
19,Maze_1,0.5,1.5,1.5,0,0.0925,0.136666666666667,0.0578125,10,235.200872305477,0.0425168491170052,0.16723563028685
20,Maze_1,0.5,1.5,1.5,0,0.0925,0.136666666666667,0.069375,10,235.200872305477,0.0425168491170053,0.16723563028685
21,Maze_1,0.5,1.5,1.5,0,0.0925,0.136666666666667,0.0809375,10,235.200872305477,0.0425168491170053,0.16723563028685
22,Maze_1,0.5,1.5,1.5,0,0.0925,0.185,0.0578125,10,378.191665092236,0.0264416192185545,-0.0179418129786321
23,Maze_1,0.5,1.5,1.5,0,0.0925,0.185,0.069375,10,378.191665092236,0.0264416192185545,-0.0179418129786321
24,Maze_1,0.5,1.5,1.5,0,0.0925,0.185,0.0809375,10,378.191665092236,0.0264416192185545,-0.0179418129786321
25,Maze_1,0.5,1.5,1.5,0,0.145,0.04,0.090625,10,26.4726856978211,0.377747845992938,0.35633608096828
26,Maze_1,0.5,1.5,1.5,0,0.145,0.04,0.10875,10,26.4726856978211,0.377747845992938,0.35633608096828
27,Maze_1,0.5,1.5,1.5,0,0.145,0.04,0.126875,10,26.4726856978211,0.377747845992938,0.35633608096828
28,Maze_1,0.5,1.5,1.5,0,0.145,0.123333333333333,0.090625,10,482.230836891558,0.0207369567331273,0.0216391460952355
29,Maze_1,0.5,1.5,1.5,0,0.145,0.123333333333333,0.10875,10,482.230836891558,0.0207369567331273,0.0216391460952355
30,Maze_1,0.5,1.5,1.5,0,0.145,0.123333333333333,0.126875,10,482.230836891558,0.0207369567331273,0.0216391460952355
31,Maze_1,0.5,1.5,1.5,0,0.145,0.206666666666667,0.090625,10,1332.55143771753,0.00750440074353044,0.0209133483538925
32,Maze_1,0.5,1.5,1.5,0,0.145,0.206666666666667,0.10875,10,1332.55143771753,0.00750440074353044,0.0209133483538925
33,Maze_1,0.5,1.5,1.5,0,0.145,0.206666666666667,0.126875,10,1332.55143771753,0.00750440074353043,0.0209133483538925
34,Maze_1,0.5,1.5,1.5,0,0.145,0.29,0.090625,10,2276.07529188339,0.00439352776934073,-0.00297140087831482
35,Maze_1,0.5,1.5,1.5,0,0.145,0.29,0.10875,10,2276.07529188339,0.00439352776934073,-0.00297140087831482
36,Maze_1,0.5,1.5,1.5,0,0.145,0.29,0.126875,10,2276.07529188339,0.00439352776934073,-0.00297140087831482
37,Maze_1,0.5,1.5,1.5,0,0.1975,0.04,0.1234375,10,37.9447342898626,0.2635411786945,0.247760084155543
38,Maze_1,0.5,1.5,1.5,0,0.1975,0.04,0.148125,10,37.9447342898627,0.2635411786945,0.247760084155543
39,Maze_1,0.5,1.5,1.5,0,0.1975,0.04,0.1728125,10,37.9447342898626,0.2635411786945,0.247760084155543
40,Maze_1,0.5,1.5,1.5,0,0.1975,0.158333333333333,0.1234375,10,1452.31946717367,0.00688553739451059,0.00704146071265971
41,Maze_1,0.5,1.5,1.5,0,0.1975,0.158333333333333,0.148125,10,1452.31946717367,0.00688553739451059,0.00704146071265971
42,Maze_1,0.5,1.5,1.5,0,0.1975,0.158333333333333,0.1728125,10,1452.31946717367,0.00688553739451059,0.00704146071265971
43,Maze_1,0.5,1.5,1.5,0,0.1975,0.276666666666667,0.1234375,10,4442.58848370647,0.00225093997264787,0.00556081047301011
44,Maze_1,0.5,1.5,1.5,0,0.1975,0.276666666666667,0.148125,10,4442.58848370647,0.00225093997264787,0.00556081047301011
45,Maze_1,0.5,1.5,1.5,0,0.1975,0.276666666666667,0.1728125,10,4442.58848370647,0.00225093997264787,0.00556081047301011
46,Maze_1,0.5,1.5,1.5,0,0.1975,0.395,0.1234375,10,7813.73145943778,0.00127979826948385,-0.000863306193223222
