Simulation_Number,Maze_Name,Step_Size,Side_Length,Total_Length,Corner,Width,Height,Fillet_Radius,Pressure_Difference,Flow_Rate,Simulation_Resistance,Theoretical_Resistance
1,Maze_1,0.5,10,70,84,0.04,0.04,0.025,10,0.0914166944042188,109.389210200303,134.605152027027
2,Maze_1,0.5,10,70,84,0.04,0.04,0.03,10,0.0924014100930954,108.223456654232,134.605152027027
3,Maze_1,0.5,10,70,84,0.04,0.04,0.035,10,0.0931034621289071,107.407391426051,134.605152027027
4,Maze_1,0.5,10,70,84,0.04,0.22,0.025,10,0.981404989052902,10.1894733688387,-0.121439065016924
5,Maze_1,0.5,10,70,84,0.04,0.22,0.03,10,0.978855774881489,10.2160096069421,-0.121439065016924
6,Maze_1,0.5,10,70,84,0.04,0.22,0.035,10,0.993781527624946,10.06257383743,-0.121439065016924
7,Maze_1,0.5,10,70,84,0.04,0.4,0.025,10,1.82701361062614,5.47341297395858,-0.00939696344339622
8,Maze_1,0.5,10,70,84,0.04,0.4,0.03,10,1.82132966950758,5.49049420729177,-0.00939696344339622
9,Maze_1,0.5,10,70,84,0.04,0.4,0.035,10,1.84880557638088,5.40889757568529,-0.00939696344339622
10,Maze_1,0.5,10,70,84,0.11,0.04,0.06875,10,0.489524053653747,20.4280053765719,23.4924086084906
11,Maze_1,0.5,10,70,84,0.11,0.04,0.0825,10,0.500016041824655,19.9993583476004,23.4924086084906
12,Maze_1,0.5,10,70,84,0.11,0.04,0.09625,10,0.502421891940586,19.9035913052582,23.4924086084906
13,Maze_1,0.5,10,70,84,0.11,0.22,0.06875,10,16.9212726712375,0.590972097329171,-0.418667545827575
14,Maze_1,0.5,10,70,84,0.11,0.22,0.0825,10,17.1765582122622,0.5821888108446,-0.418667545827575
15,Maze_1,0.5,10,70,84,0.11,0.22,0.09625,10,17.1194617018863,0.584130516142229,-0.418667545827575
16,Maze_1,0.5,10,70,84,0.11,0.4,0.06875,10,36.0279863434862,0.277562001513525,-0.0140292693661972
17,Maze_1,0.5,10,70,84,0.11,0.4,0.0825,10,36.6012366315173,0.27321481240306,-0.0140292693661972
18,Maze_1,0.5,10,70,84,0.11,0.4,0.09625,10,36.4499166420126,0.274349049909044,-0.0140292693661972
19,Maze_1,0.5,10,70,84,0.18,0.04,0.1125,10,0.942564500448242,10.6093535193023,12.8692264211886
20,Maze_1,0.5,10,70,84,0.18,0.04,0.135,10,0.935027939863055,10.6948675795342,12.8692264211886
21,Maze_1,0.5,10,70,84,0.18,0.04,0.1575,10,0.9608783093037,10.4071451121074,12.8692264211886
22,Maze_1,0.5,10,70,84,0.18,0.22,0.1125,10,55.6835365360782,0.179586294658581,0.289224439871224
23,Maze_1,0.5,10,70,84,0.18,0.22,0.135,10,56.1177596710741,0.178196707399111,0.289224439871224
24,Maze_1,0.5,10,70,84,0.18,0.22,0.1575,10,57.1109414336051,0.175097796481356,0.289224439871224
25,Maze_1,0.5,10,70,84,0.18,0.4,0.1125,10,141.805226526189,0.0705192625474433,-0.0276688368055555
26,Maze_1,0.5,10,70,84,0.18,0.4,0.135,10,143.101717641926,0.0698803631765086,-0.0276688368055555
27,Maze_1,0.5,10,70,84,0.18,0.4,0.1575,10,145.615270781876,0.0686741160202864,-0.0276688368055555
28,Maze_2,0.5,10,37,46,0.04,0.04,0.025,10,0.173222144416327,57.7293395927818,71.1484375
29,Maze_2,0.5,10,37,46,0.04,0.04,0.03,10,0.174486703851021,57.3109571061537,71.1484375
30,Maze_2,0.5,10,37,46,0.04,0.04,0.035,10,0.17669917311669,56.5933604759775,71.1484375
31,Maze_2,0.5,10,37,46,0.04,0.22,0.025,10,1.86200591848586,5.37055220970069,-0.0641892200803739
32,Maze_2,0.5,10,37,46,0.04,0.22,0.03,10,1.8528658317045,5.3970448528379,-0.0641892200803739
33,Maze_2,0.5,10,37,46,0.04,0.22,0.035,10,1.88395092880357,5.30799387983563,-0.0641892200803739
34,Maze_2,0.5,10,37,46,0.04,0.4,0.025,10,3.46639653546828,2.88484017846189,-0.00496696639150943
35,Maze_2,0.5,10,37,46,0.04,0.4,0.03,10,3.44802342352707,2.90021231635681,-0.00496696639150943
36,Maze_2,0.5,10,37,46,0.04,0.4,0.035,10,3.50466035968203,2.85334354080099,-0.00496696639150943
37,Maze_2,0.5,10,37,46,0.11,0.04,0.06875,10,0.907180262377211,11.0231675166693,12.4174159787736
38,Maze_2,0.5,10,37,46,0.11,0.04,0.0825,10,0.907890302800084,11.0145465472627,12.4174159787736
39,Maze_2,0.5,10,37,46,0.11,0.04,0.09625,10,0.921453215396057,10.8524229259994,12.4174159787736
40,Maze_2,0.5,10,37,46,0.11,0.22,0.06875,10,31.9817829411827,0.312678002298711,-0.221295702794575
41,Maze_2,0.5,10,37,46,0.11,0.22,0.0825,10,32.1536413408953,0.31100676573391,-0.221295702794575
42,Maze_2,0.5,10,37,46,0.11,0.22,0.09625,10,32.4543574915441,0.308125033829601,-0.221295702794575
43,Maze_2,0.5,10,37,46,0.11,0.4,0.06875,10,68.1700781892121,0.146691925044359,-0.00741547095070422
44,Maze_2,0.5,10,37,46,0.11,0.4,0.0825,10,68.5378288521892,0.145904826100726,-0.00741547095070422
45,Maze_2,0.5,10,37,46,0.11,0.4,0.09625,10,69.1785374728943,0.144553504096819,-0.00741547095070422
46,Maze_2,0.5,10,37,46,0.18,0.04,0.1125,10,1.70039019603711,5.88100309170551,6.80230539405685
47,Maze_2,0.5,10,37,46,0.18,0.04,0.135,10,1.68159004388367,5.94675262045724,6.80230539405685
48,Maze_2,0.5,10,37,46,0.18,0.04,0.1575,10,1.73489613495625,5.76403382226231,6.80230539405685
49,Maze_2,0.5,10,37,46,0.18,0.22,0.1125,10,105.325759450609,0.0949435356759931,0.152875775360504
50,Maze_2,0.5,10,37,46,0.18,0.22,0.135,10,106.729136466638,0.0936951270389586,0.152875775360504
51,Maze_2,0.5,10,37,46,0.18,0.22,0.1575,10,107.782153712636,0.0927797381620479,0.152875775360504
52,Maze_2,0.5,10,37,46,0.18,0.4,0.1125,10,268.939831528872,0.0371830380912782,-0.0146249565972222
53,Maze_2,0.5,10,37,46,0.18,0.4,0.135,10,273.357865244883,0.0365820825789727,-0.0146249565972222
54,Maze_2,0.5,10,37,46,0.18,0.4,0.1575,10,274.59350596341,0.0364174672118157,-0.0146249565972222
55,Maze_3,0.5,10,29,36,0.04,0.04,0.025,10,0.220602925674995,45.3303144978801,55.764991554054
56,Maze_3,0.5,10,29,36,0.04,0.04,0.03,10,0.221487646793158,45.1492448666393,55.764991554054
57,Maze_3,0.5,10,29,36,0.04,0.04,0.035,10,0.223602857238229,44.7221476662343,55.764991554054
58,Maze_3,0.5,10,29,36,0.04,0.22,0.025,10,2.37165806322353,4.21645942771705,-0.0503104697927255
59,Maze_3,0.5,10,29,36,0.04,0.22,0.03,10,2.36796944211546,4.22302746908184,-0.0503104697927255
