train_or_test,Simulation_Number,Maze_Name,Step_Size,Side_Length,Total_Length,Corner,Width,Height,Fillet_Radius,Simulation_Resistance,Best_Model
train,416,Maze_16,0.5,16.0,84.0,104,110.0,40.0,82.5,23.264614400731,ExtraTreesRegressor
train,4548,Maze_61,1.0,7.0,17.0,10,316.0,40.0,276.5,1.11868962577613,ExtraTreesRegressor
train,4950,Maze_104,1.0,11.0,23.0,18,40.0,53.3333333333333,35.0,20.6287037685643,ExtraTreesRegressor
train,1005,Maze_21,0.5,11.5,52.5,68,197.5,276.666666666667,172.8125,0.0703724582443925,ExtraTreesRegressor
train,3423,Maze_46,0.75,7.5,16.5,12,241.0,40.0,210.875,1.753715660575,ExtraTreesRegressor
test,379,Maze_8,0.5,3.5,6.5,8,197.5,276.666666666667,123.4375,0.0091927560610566,LGBMRegressor
train,2265,Maze_84,1.25,13.75,31.25,20,430.0,220.0,376.25,0.0161933797182215,ExtraTreesRegressor
train,7668,Maze_103,1.75,8.75,22.75,8,207.0,40.0,181.125,2.10149237875266,ExtraTreesRegressor
train,1480,Maze_20,0.5,8.5,16.5,24,200.0,200.0,125.0,0.0404308961763642,ExtraTreesRegressor
train,9367,Maze_196,1.5,16.5,25.5,6,40.0,66.6666666666667,25.0,16.1039946449497,ExtraTreesRegressor
train,2329,Maze_49,0.75,5.25,6.75,4,207.5,40.0,129.6875,0.959748223088153,ExtraTreesRegressor
train,700,Maze_15,0.5,7.5,15.5,16,145.0,123.333333333333,90.625,0.196921975648643,ExtraTreesRegressor
train,7199,Maze_96,1.0,19.0,31.0,18,250.0,250.0,187.5,0.0315771727511887,ExtraTreesRegressor
train,8174,Maze_109,1.75,12.25,33.25,10,708.0,400.0,531.0,0.0019332047124208,ExtraTreesRegressor
train,8797,Maze_184,1.5,10.5,19.5,10,217.5,40.0,135.9375,2.25271383993092,ExtraTreesRegressor
test,7614,Maze_102,1.5,18.0,18.0,0,150.0,150.0,0.0,0.151961864524003,ExtraTreesRegressor
train,9839,Maze_132,2.0,12.0,24.0,8,40.0,400.0,30.0,1.8585161566512,ExtraTreesRegressor
train,3078,Maze_42,0.5,16.5,36.5,44,50.0,50.0,43.75,22.9170930302238,ExtraTreesRegressor
train,2152,Maze_80,1.25,11.25,26.25,10,430.0,40.0,268.75,1.29367954731126,ExtraTreesRegressor
train,1932,Maze_26,0.75,2.25,2.25,0,241.0,310.0,0.0,0.0017742046423765,ExtraTreesRegressor
test,1794,Maze_24,0.5,79.5,79.5,0,250.0,150.0,0.0,0.271550814824654,ExtraTreesRegressor
train,7105,Maze_95,1.5,15.0,24.0,6,466.0,310.0,291.25,0.0050728336209941,ExtraTreesRegressor
train,5002,Maze_67,1.0,9.0,17.0,6,316.0,220.0,197.5,0.0153785677160499,ExtraTreesRegressor
train,8961,Maze_120,1.5,13.5,25.5,10,150.0,100.0,131.25,0.470548222163075,ExtraTreesRegressor
train,2802,Maze_38,0.5,14.5,48.5,56,100.0,200.0,87.5,0.584331640744248,ExtraTreesRegressor
test,1381,Maze_29,0.5,15.5,44.5,52,197.5,40.0,123.4375,5.88209642188024,DecisionTreeRegressor
train,2729,Maze_37,0.5,50.5,50.5,0,100.0,250.0,0.0,0.472600196280886,ExtraTreesRegressor
train,626,Maze_9,0.5,2.5,4.5,6,82.0,310.0,61.5,0.0553222673965827,ExtraTreesRegressor
train,7325,Maze_98,1.75,5.25,5.25,0,541.0,130.0,0.0,0.0100735422233865,ExtraTreesRegressor
test,255,Maze_4,0.5,10.0,10.0,0,100.0,250.0,0.0,0.094295523611849,ExtraTreesRegressor
train,4866,Maze_102,1.0,11.0,23.0,10,155.0,130.0,135.625,0.22789788861546,ExtraTreesRegressor
train,3598,Maze_75,0.75,17.25,75.75,58,291.25,582.5,182.03125,0.0129059000565015,ExtraTreesRegressor
train,3906,Maze_53,1.0,4.0,6.0,4,40.0,130.0,35.0,1.56920480834746,ExtraTreesRegressor
train,9898,Maze_132,1.5,19.5,61.5,28,250.0,250.0,156.25,0.0634494668841011,ExtraTreesRegressor
train,1330,Maze_50,1.0,10.0,44.0,22,40.0,400.0,25.0,3.41794281502727,ExtraTreesRegressor
train,604,Maze_23,0.5,20.0,75.0,82,110.0,40.0,68.75,21.4621419025697,ExtraTreesRegressor
train,5464,Maze_73,1.0,43.0,43.0,0,250.0,100.0,0.0,0.429116792903222,ExtraTreesRegressor
train,8340,Maze_112,1.5,9.0,21.0,8,50.0,250.0,43.75,1.36495635518199,ExtraTreesRegressor
train,3335,Maze_45,0.75,6.75,17.25,18,174.0,130.0,130.5,0.139924486029969,ExtraTreesRegressor
train,9203,Maze_123,1.5,15.0,36.0,20,200.0,150.0,150.0,0.167012513564764,ExtraTreesRegressor
train,3112,Maze_116,1.5,18.0,69.0,30,40.0,400.0,25.0,5.34150267925678,ExtraTreesRegressor
train,7297,Maze_153,1.25,17.5,67.5,26,40.0,40.0,25.0,104.73284050515,ExtraTreesRegressor
test,828,Maze_12,0.5,6.5,24.5,26,50.0,50.0,43.75,15.4400219149672,ExtraTreesRegressor
train,4526,Maze_61,1.0,7.0,17.0,10,132.0,310.0,99.0,0.0561004118418922,ExtraTreesRegressor
train,10118,Maze_135,1.5,70.5,70.5,0,250.0,150.0,0.0,0.246223479046738,ExtraTreesRegressor
train,5225,Maze_70,1.0,10.0,22.0,10,316.0,130.0,237.0,0.0704447050469468,ExtraTreesRegressor
train,5779,Maze_78,1.0,63.0,63.0,0,50.0,100.0,0.0,12.6467522226117,ExtraTreesRegressor
train,3430,Maze_46,0.5,71.5,71.5,0,200.0,200.0,0.0,0.187801001905355,ExtraTreesRegressor
train,430,Maze_9,0.5,5.5,12.5,14,197.5,395.0,123.4375,0.0101453165275013,ExtraTreesRegressor
train,4660,Maze_63,1.0,7.0,25.0,16,40.0,310.0,25.0,2.51366417166459,ExtraTreesRegressor
test,9001,Maze_121,2.0,6.0,10.0,4,40.0,40.0,25.0,15.4901063966341,ExtraTreesRegressor
train,1534,Maze_32,0.5,15.5,66.5,82,197.5,395.0,123.4375,0.053249102010924,ExtraTreesRegressor
test,8836,Maze_185,1.5,13.5,19.5,6,40.0,53.3333333333333,25.0,17.6654927177952,DecisionTreeRegressor
test,174,Maze_4,0.5,1.5,2.5,4,145.0,123.333333333333,126.87499999999999,0.0314794988998406,ExtraTreesRegressor
train,9232,Maze_193,1.5,16.5,46.5,16,217.5,171.666666666667,135.9375,0.135578498546841,ExtraTreesRegressor
train,6438,Maze_86,1.0,23.0,23.0,0,250.0,50.0,0.0,1.60063294520992,ExtraTreesRegressor
train,2879,Maze_60,0.75,9.0,42.0,36,291.25,582.5,218.4375,0.0070509292860887,ExtraTreesRegressor
train,6087,Maze_127,1.25,3.75,3.75,0,478.75,40.0,0.0,0.247358520817874,ExtraTreesRegressor
train,9976,Maze_134,2.0,14.0,30.0,10,40.0,40.0,25.0,46.0521488068411,ExtraTreesRegressor
train,7200,Maze_96,1.5,15.0,33.0,14,608.0,400.0,532.0,0.002411489054544,ExtraTreesRegressor
train,6843,Maze_92,1.5,13.5,37.5,12,182.0,40.0,159.25,4.36336580125224,ExtraTreesRegressor
train,8618,Maze_115,1.75,15.75,36.75,10,708.0,220.0,531.0,0.0101761079144518,ExtraTreesRegressor
train,1237,Maze_17,0.5,25.5,25.5,0,150.0,150.0,0.0,0.214179606189012,ExtraTreesRegressor
train,5321,Maze_71,1.0,11.0,27.0,14,250.0,200.0,187.5,0.0437229628904732,ExtraTreesRegressor
train,7577,Maze_102,1.75,7.0,10.5,4,40.0,40.0,30.0,16.3348269717181,ExtraTreesRegressor
train,3479,Maze_73,0.75,17.25,65.25,58,123.75,247.5,92.8125,0.346495429546379,ExtraTreesRegressor
train,5101,Maze_69,1.0,9.0,15.0,8,50.0,50.0,31.25,9.59607967503636,ExtraTreesRegressor
train,6407,Maze_86,1.0,23.0,23.0,0,150.0,50.0,0.0,2.90892138722941,ExtraTreesRegressor
train,4092,Maze_55,1.0,6.0,8.0,4,150.0,200.0,131.25,0.0371576299530194,ExtraTreesRegressor
test,715,Maze_15,0.5,7.5,15.5,16,197.5,276.666666666667,123.4375,0.0217858560753991,DecisionTreeRegressor
train,7774,Maze_162,1.5,4.5,7.5,4,572.5,1145.0,357.8125,0.0001047684902174,ExtraTreesRegressor
train,9356,Maze_125,1.5,15.0,30.0,12,200.0,200.0,150.0,0.0750212927155557,ExtraTreesRegressor
train,4020,Maze_54,1.0,12.0,12.0,0,150.0,250.0,0.0,0.0401329608020257,ExtraTreesRegressor
train,1890,Maze_70,1.0,20.0,60.0,38,346.666666666667,400.0,303.33333333333303,0.0122792582410392,ExtraTreesRegressor
test,617,Maze_13,0.5,7.5,21.5,24,197.5,158.333333333333,148.125,0.0887953672186051,RandomForestRegressor
train,6027,Maze_126,1.25,3.75,6.25,4,332.5,40.0,290.9375,0.448957561307286,ExtraTreesRegressor
test,9609,Maze_129,1.5,16.5,55.5,22,50.0,150.0,43.75,6.45561943480168,ExtraTreesRegressor
train,3430,Maze_72,0.75,15.0,61.5,52,123.75,247.5,77.34375,0.325540016933179,ExtraTreesRegressor
train,7429,Maze_100,1.5,9.0,15.0,8,50.0,100.0,31.25,2.95337490289803,ExtraTreesRegressor
train,1716,Maze_23,0.5,5.0,19.0,18,208.0,130.0,182.0,0.11202274735592,ExtraTreesRegressor
train,7113,Maze_149,1.25,15.0,45.0,20,40.0,66.6666666666667,35.0,28.2476945098698,ExtraTreesRegressor
test,1856,Maze_25,0.5,10.5,26.5,28,200.0,200.0,150.0,0.0648456465187471,DecisionTreeRegressor
train,1708,Maze_64,1.0,16.0,58.0,36,40.0,400.0,25.0,4.49819147680557,ExtraTreesRegressor
train,205,Maze_5,0.5,3.5,8.5,12,92.5,40.0,57.8125,3.28474198881632,ExtraTreesRegressor
