MazeID,StepSize,SideLength,Coordinates
Maze_124,2,8,0 4*2 4*4 4*4 2*6 2*6 4*8 4
Maze_125,2,8,0 4*2 4*4 4*6 4*8 4
Maze_126,2,8,0 4*2 4*2 6*4 6*4 4*4 2*6 2*6 4*8 4
Maze_127,2,10,0 5*2 5*4 5*4 7*4 9*6 9*6 7*6 5*6 3*6 1*8 1*8 3*8 5*10 5
Maze_128,2,10,0 5*2 5*2 3*4 3*4 1*6 1*8 1*8 3*6 3*6 5*8 5*10 5
Maze_129,2,10,0 5*2 5*4 5*4 7*4 9*6 9*6 7*8 7*8 5*10 5
Maze_130,2,12,0 6*2 6*2 4*4 4*6 4*8 4*8 6*8 8*8 10*10 10*10 8*10 6*12 6
Maze_131,2,12,0 6*2 6*4 6*4 4*6 4*6 2*8 2*8 4*8 6*8 8*6 8*4 8*4 10*6 10*8 10*10 10*10 8*10 6*12 6
Maze_132,2,12,0 6*2 6*2 8*2 10*4 10*4 8*4 6*6 6*8 6*8 8*10 8*10 6*12 6
Maze_133,2,14,0 7*2 7*2 9*2 11*2 13*4 13*4 11*6 11*6 9*8 9*10 9*12 9*12 7*14 7
Maze_134,2,14,0 7*2 7*2 5*4 5*4 3*4 1*6 1*8 1*8 3*6 3*6 5*8 5*10 5*12 5*12 7*14 7
Maze_135,2,14,0 7*2 7*2 5*4 5*4 7*4 9*4 11*4 13*6 13*6 11*8 11*10 11*10 9*12 9*12 7*14 7
Maze_136,2,16,0 8*2 8*4 8*4 6*4 4*4 2*6 2*6 4*6 6*8 6*8 8*10 8*12 8*12 10*12 12*14 12*14 10*14 8*16 8
Maze_137,2,16,0 8*2 8*4 8*4 10*6 10*8 10*10 10*10 8*8 8*6 8*6 6*8 6*8 4*8 2*10 2*10 4*12 4*14 4*14 6*12 6*12 8*12 10*14 10*14 8*16 8
Maze_138,2,16,0 8*2 8*2 10*2 12*2 14*4 14*6 14*6 12*4 12*4 10*6 10*8 10*8 8*8 6*10 6*10 8*12 8*12 6*14 6*14 8*16 8
Maze_139,2,18,0 9*2 9*4 9*4 7*2 7*2 5*2 3*4 3*4 5*6 5*8 5*8 3*8 1*10 1*12 1*12 3*12 5*10 5*10 7*12 7*14 7*14 9*16 9*18 9
Maze_140,2,18,0 9*2 9*2 11*4 11*4 9*4 7*4 5*2 5*2 3*2 1*4 1*4 3*6 3*6 5*8 5*10 5*10 7*12 7*12 9*14 9*16 9*18 9
Maze_141,2,18,0 9*2 9*4 9*6 9*6 11*6 13*8 13*8 11*10 11*12 11*12 9*14 9*14 11*16 11*16 9*18 9
Maze_142,2,20,0 10*2 10*4 10*4 8*4 6*6 6*6 8*6 10*8 10*8 8*10 8*10 10*10 12*12 12*12 10*14 10*14 8*16 8*16 10*18 10*20 10
Maze_143,2,20,0 10*2 10*4 10*4 8*6 8*8 8*8 10*8 12*8 14*10 14*10 12*12 12*12 10*14 10*14 8*14 6*16 6*16 8*16 10*16 12*18 12*18 10*20 10
Maze_144,2,20,0 10*2 10*4 10*4 12*4 14*4 16*2 16*2 18*4 18*6 18*8 18*10 18*10 16*8 16*8 14*6 14*6 12*6 10*8 10*8 8*6 8*4 8*2 8*2 6*2 4*4 4*4 6*6 6*8 6*8 4*6 4*6 2*8 2*10 2*10 4*10 6*10 8*10 10*12 10*12 8*14 8*16 8*16 10*18 10*20 10
