MazeID,StepSize,SideLength,Coordinates
Maze_29,0.75,3,0 1.5*0.75 1.5*1.5 1.5*2.25 1.5*3 1.5
Maze_30,0.75,3,0 1.5*0.75 1.5*1.5 1.5*2.25 1.5*3 1.5
Maze_31,0.75,3.75,0 1.875*0.75 1.875*0.75 2.625*1.5 2.625*1.5 3.375*2.25 3.375*2.25 2.625*3 2.625*3 1.875*3.75 1.875
Maze_32,0.75,3.75,0 1.875*0.75 1.875*0.75 2.625*1.5 2.625*1.5 1.875*2.25 1.875*3 1.875*3.75 1.875
Maze_33,0.75,3.75,0 1.875*0.75 1.875*1.5 1.875*1.5 2.625*1.5 3.375*2.25 3.375*2.25 2.625*3 2.625*3 1.875*3.75 1.875
Maze_34,0.75,4.5,0 2.25*0.75 2.25*1.5 2.25*1.5 3*1.5 3.75*2.25 3.75*2.25 3*2.25 2.25*2.25 1.5*2.25 0.75*3 0.75*3 1.5*3 2.25*3 3*3.75 3*3.75 2.25*4.5 2.25
Maze_35,0.75,4.5,0 2.25*0.75 2.25*1.5 2.25*2.25 2.25*2.25 3*3 3*3.75 3*3.75 2.25*4.5 2.25
Maze_36,0.75,4.5,0 2.25*0.75 2.25*0.75 1.5*1.5 1.5*1.5 0.75*2.25 0.75*2.25 1.5*2.25 2.25*3 2.25*3 1.5*3 0.75*3.75 0.75*3.75 1.5*3.75 2.25*4.5 2.25
Maze_37,0.75,5.25,0 2.625*0.75 2.625*0.75 3.375*1.5 3.375*2.25 3.375*2.25 2.625*2.25 1.875*3 1.875*3.75 1.875*3.75 2.625*3.75 3.375*3 3.375*3 4.125*3 4.875*3.75 4.875*3.75 4.125*4.5 4.125*4.5 3.375*4.5 2.625*5.25 2.625
Maze_38,0.75,5.25,0 2.625*0.75 2.625*0.75 3.375*1.5 3.375*2.25 3.375*2.25 4.125*2.25 4.875*3 4.875*3 4.125*3.75 4.125*3.75 3.375*4.5 3.375*4.5 2.625*5.25 2.625
Maze_39,0.75,5.25,0 2.625*0.75 2.625*0.75 1.875*0.75 1.125*1.5 1.125*1.5 1.875*1.5 2.625*2.25 2.625*3 2.625*3.75 2.625*4.5 2.625*5.25 2.625
Maze_40,0.75,6,0 3*0.75 3*1.5 3*1.5 2.25*2.25 2.25*2.25 3*2.25 3.75*3 3.75*3 3*3.75 3*3.75 3.75*4.5 3.75*5.25 3.75*5.25 3*6 3
Maze_41,0.75,6,0 3*0.75 3*0.75 3.75*0.75 4.5*1.5 4.5*1.5 3.75*2.25 3.75*3 3.75*3 4.5*3.75 4.5*3.75 5.25*4.5 5.25*5.25 5.25*5.25 4.5*4.5 4.5*4.5 3.75*4.5 3*5.25 3*6 3
